Finance Amount,Loan,State,Adjusted Gross Income
>=250K,NO,MD,87078
>=250K,YES,MD,87078
<250K,NO,NE,18956
<250K,NO,OR,54605
<250K,YES,OR,54605
<250K,NO,AZ,78442
<250K,YES,AZ,78442
<250K,NO,IA,17482
<250K,YES,IA,17482
<250K,YES,IL,56893
<250K,NO,IL,56893
>=250K,YES,CA,144912
>=250K,NO,CA,144912
<250K,NO,MI,51122
<250K,YES,MI,51122
<250K,NO,NH,34953
<250K,YES,NH,34953
>=250K,NO,VA,59011
<250K,YES,VA,59011
>=250K,YES,MT,17330
<250K,NO,MT,17330
<250K,YES,AL,31600
<250K,NO,AL,31600
<250K,YES,ME,15708
<250K,NO,ME,15708
<250K,NO,PA,41780
<250K,YES,PA,41780
<250K,NO,AR,22106
<250K,YES,AR,22106
<250K,NO,WI,39987
<250K,YES,WI,39987
<250K,YES,SC,51987
<250K,NO,SC,51987
<250K,NO,LA,38419
<250K,YES,LA,38419
<250K,YES,OH,49439
<250K,NO,OH,49439
<250K,YES,TX,73443
<250K,NO,TX,73443
<250K,NO,FL,103950
<250K,YES,FL,103950
>=250K,NO,CO,71751
<250K,YES,NM,27255
<250K,NO,NM,27255
<250K,YES,CT,99150
>=250K,NO,CT,99150
<250K,YES,OK,26216
<250K,NO,OK,26216
<250K,YES,DE,77127
<250K,NO,DE,77127
<250K,NO,TN,47918
<250K,YES,TN,47918
